date_time,invoice_id,branch,city,customer_type,gender,product_line,payment,branch_location,total,gross_income,rating
2019-01-05 13:08:00,750-67-8428,A,Yangon,Member,Female,Health and beauty,Ewallet,A - Yangon,548.9715,26.1415,9.1
2019-03-08 10:29:00,226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,Cash,C - Naypyitaw,80.22,3.82,9.6
2019-03-03 13:23:00,631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,Credit card,A - Yangon,340.5255,16.2155,7.4
2019-01-27 20:33:00,123-19-1176,A,Yangon,Member,Male,Health and beauty,Ewallet,A - Yangon,489.048,23.288,8.4
2019-02-08 10:37:00,373-73-7910,A,Yangon,Normal,Male,Sports and travel,Ewallet,A - Yangon,634.3785,30.2085,5.3
2019-03-25 18:30:00,699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,Ewallet,C - Naypyitaw,627.6165,29.8865,4.1
2019-02-25 14:36:00,355-53-5943,A,Yangon,Member,Female,Electronic accessories,Ewallet,A - Yangon,433.69199999999995,20.651999999999997,5.8
2019-02-24 11:38:00,315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,Ewallet,C - Naypyitaw,772.38,36.78,8.0
2019-01-10 17:15:00,665-32-9167,A,Yangon,Member,Female,Health and beauty,Credit card,A - Yangon,76.146,3.6260000000000003,7.2
2019-02-20 13:27:00,692-92-5582,B,Mandalay,Member,Female,Food and beverages,Credit card,B - Mandalay,172.74599999999998,8.226,5.9
2019-02-06 18:07:00,351-62-0822,B,Mandalay,Member,Female,Fashion accessories,Ewallet,B - Mandalay,60.816,2.8960000000000004,4.5
2019-03-09 17:03:00,529-56-3974,B,Mandalay,Member,Male,Electronic accessories,Cash,B - Mandalay,107.14200000000001,5.102,6.8
2019-02-12 10:25:00,365-64-0515,A,Yangon,Normal,Female,Electronic accessories,Ewallet,A - Yangon,246.4875,11.7375,7.1
2019-02-07 16:48:00,252-56-2699,A,Yangon,Normal,Male,Food and beverages,Ewallet,A - Yangon,453.495,21.595,8.2
2019-03-29 19:21:00,829-34-3910,A,Yangon,Normal,Female,Health and beauty,Cash,A - Yangon,749.49,35.69,5.7
2019-01-15 16:19:00,299-46-1805,B,Mandalay,Member,Female,Sports and travel,Cash,B - Mandalay,590.436,28.116,4.5
2019-03-11 11:03:00,656-95-9349,A,Yangon,Member,Female,Health and beauty,Credit card,A - Yangon,506.6355,24.1255,4.6
2019-01-01 10:39:00,765-26-6951,A,Yangon,Normal,Male,Sports and travel,Credit card,A - Yangon,457.44300000000004,21.783,6.9
2019-01-21 18:00:00,329-62-1586,A,Yangon,Normal,Male,Food and beverages,Credit card,A - Yangon,172.2105,8.2005,8.6
2019-03-11 15:30:00,319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,Ewallet,B - Mandalay,84.63,4.03,4.4
2019-02-25 11:24:00,300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,Ewallet,C - Naypyitaw,451.71,21.51,4.8
2019-03-05 10:40:00,371-85-5789,B,Mandalay,Normal,Male,Health and beauty,Ewallet,B - Mandalay,277.137,13.197000000000001,5.1
2019-03-15 12:20:00,273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,Credit card,B - Mandalay,69.72,3.32,4.4
2019-02-17 11:15:00,636-48-8204,A,Yangon,Normal,Male,Electronic accessories,Ewallet,A - Yangon,181.44,8.64,9.9
2019-03-02 17:36:00,549-59-1358,A,Yangon,Member,Male,Sports and travel,Ewallet,A - Yangon,279.1845,13.2945,6.0
2019-03-22 19:20:00,227-03-5010,A,Yangon,Member,Female,Home and lifestyle,Credit card,A - Yangon,441.756,21.035999999999998,8.5
2019-02-08 15:31:00,649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,Cash,B - Mandalay,35.196,1.676,6.7
2019-03-10 12:17:00,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,Credit card,A - Yangon,184.107,8.767000000000001,7.7
2019-01-25 19:48:00,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,Cash,B - Mandalay,463.89,22.09,9.6
2019-03-15 15:36:00,848-62-7243,A,Yangon,Normal,Male,Health and beauty,Cash,A - Yangon,235.2105,11.2005,7.4
2019-02-25 19:39:00,871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,Credit card,B - Mandalay,494.1825,23.5325,4.8
2019-01-28 12:43:00,149-71-6266,B,Mandalay,Member,Male,Sports and travel,Cash,B - Mandalay,737.7615,35.1315,4.5
2019-01-10 14:49:00,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,Cash,B - Mandalay,703.752,33.512,5.1
2019-03-15 10:12:00,595-11-5460,A,Yangon,Normal,Male,Health and beauty,Credit card,A - Yangon,202.81799999999998,9.658,5.1
2019-02-06 10:42:00,183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,Ewallet,C - Naypyitaw,417.564,19.884,7.5
2019-01-07 12:28:00,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,Ewallet,C - Naypyitaw,71.52600000000001,3.406,6.8
2019-03-10 19:15:00,129-29-8530,A,Yangon,Member,Male,Sports and travel,Ewallet,A - Yangon,328.755,15.655,7.0
2019-01-15 17:17:00,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,Ewallet,A - Yangon,575.316,27.396,4.7
2019-03-23 13:24:00,333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,Ewallet,C - Naypyitaw,461.32800000000003,21.968000000000004,7.6
2019-03-03 13:01:00,777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,Cash,B - Mandalay,253.00799999999998,12.048,7.7
2019-01-17 18:45:00,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,Ewallet,B - Mandalay,91.056,4.336,7.9
2019-02-02 10:11:00,554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,Cash,C - Naypyitaw,117.831,5.611000000000001,6.3
2019-02-08 13:03:00,354-25-5821,B,Mandalay,Member,Female,Sports and travel,Cash,B - Mandalay,435.45599999999996,20.736,5.6
2019-03-04 20:39:00,228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,Cash,C - Naypyitaw,829.08,39.48,7.6
2019-03-16 19:47:00,617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,Cash,C - Naypyitaw,32.277,1.537,7.2
2019-03-09 18:00:00,132-32-9879,B,Mandalay,Member,Female,Electronic accessories,Cash,B - Mandalay,394.63199999999995,18.792,9.5
2019-02-27 17:24:00,370-41-7321,B,Mandalay,Member,Male,Health and beauty,Credit card,B - Mandalay,535.7205,25.5105,8.4
2019-02-06 15:47:00,727-46-3608,B,Mandalay,Member,Female,Food and beverages,Ewallet,B - Mandalay,189.0945,9.0045,4.1
2019-02-10 12:45:00,669-54-1719,B,Mandalay,Member,Male,Electronic accessories,Credit card,B - Mandalay,119.259,5.678999999999999,8.1
2019-03-19 17:08:00,574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,Ewallet,C - Naypyitaw,867.615,41.315,7.9
2019-02-03 10:19:00,326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,Cash,C - Naypyitaw,671.79,31.99,9.5
